,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Total_Interaction,User Type,User ID,Country ID,Classified Sentiment,Platform ID
0,Enjoying a beautiful day at the park,Positive,2023-01-15 12:30:00,User123,Twitter,#Nature #Park,15,30,USA,2023,1,15,12,45,Regular User,User_1,US,Positive,X
1,Traffic was terrible this morning,Negative,2023-01-15 08:45:00,CommuterX,Twitter,#Traffic #Morning,5,10,Canada,2023,1,15,8,15,Regular User,User_2,CA,Negative,X
2,Just finished an amazing workout,Positive,2023-01-15 15:45:00,FitnessFan,Instagram,#Fitness #Workout,20,40,USA,2023,1,15,15,60,Influencer,User_3,US,Positive,IG
3,Excited about the upcoming weekend getaway,Positive,2023-01-15 18:20:00,AdventureX,Facebook,#Travel #Adventure,8,15,UK,2023,1,15,18,23,Regular User,User_4,UK,Positive,FB
4,Trying out a new recipe for dinner tonight,Neutral,2023-01-15 19:55:00,ChefCook,Instagram,#Cooking #Food,12,25,Australia,2023,1,15,19,37,Regular User,User_5,AU,Neutral,IG
5,Feeling grateful for the little things in life,Positive,2023-01-16 09:10:00,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25,50,India,2023,1,16,9,75,Influencer,User_6,IN,Positive,X
6,Rainy days call for cozy blankets and hot cocoa,Positive,2023-01-16 14:45:00,RainyDays,Facebook,#RainyDays #Cozy,10,20,Canada,2023,1,16,14,30,Regular User,User_7,CA,Positive,FB
7,The new movie release is a mustwatch,Positive,2023-01-16 19:30:00,MovieBuff,Instagram,#MovieNight #MustWatch,15,30,USA,2023,1,16,19,45,Regular User,User_8,US,Positive,IG
8,Political discussions heating up on the timeline,Negative,2023-01-17 08:00:00,DebateTalk,Twitter,#Politics #Debate,30,60,USA,2023,1,17,8,90,Influencer,User_9,US,Negative,X
9,Missing summer vibes and beach days,Neutral,2023-01-17 12:20:00,BeachLover,Facebook,#Summer #BeachDays,18,35,Australia,2023,1,17,12,53,Influencer,User_10,AU,Neutral,FB
10,Just published a new blog post Check it out,Positive,2023-01-17 15:15:00,BloggerX,Instagram,#Blogging #NewPost,22,45,USA,2023,1,17,15,67,Influencer,User_11,US,Positive,IG
11,Feeling a bit under the weather today,Negative,2023-01-18 10:30:00,WellnessCheck,Twitter,#SickDay #Health,7,15,Canada,2023,1,18,10,22,Regular User,User_12,CA,Negative,X
12,Exploring the citys hidden gems,Positive,2023-01-18 14:50:00,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12,25,UK,2023,1,18,14,37,Regular User,User_13,UK,Positive,FB
13,New year new fitness goals,Positive,2023-01-18 18:00:00,FitJourney,Instagram,#NewYear #FitnessGoals,28,55,USA,2023,1,18,18,83,Influencer,User_14,US,Positive,IG
14,Technology is changing the way we live,Neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter,#Tech #Innovation,15,30,India,2023,1,19,9,45,Regular User,User_15,IN,Neutral,X
15,Reflecting on the past and looking ahead,Positive,2023-01-19 13:20:00,Reflections,Facebook,#Reflection #Future,20,40,USA,2023,1,19,13,60,Influencer,User_16,US,Positive,FB
16,Just adopted a cute furry friend,Positive,2023-01-19 17:10:00,PetAdopter,Instagram,#PetAdoption #FurryFriend,15,30,Canada,2023,1,19,17,45,Regular User,User_17,CA,Positive,IG
17,Latenight gaming session with friends,Positive,2023-01-20 00:05:00,GamerX,Twitter,#Gaming #LateNight,18,35,UK,2023,1,20,0,53,Influencer,User_18,UK,Positive,X
18,Attending a virtual conference on AI,Neutral,2023-01-20 11:30:00,TechConference,Facebook,#AI #TechConference,25,50,USA,2023,1,20,11,75,Influencer,User_19,US,Neutral,FB
19,Winter blues got me feeling low,Negative,2023-01-20 15:15:00,WinterBlues,Instagram,#WinterBlues #Mood,8,15,USA,2023,1,20,15,23,Regular User,User_20,US,Negative,IG
20,Sipping coffee and enjoying a good book,Positive,2023-01-21 08:40:00,Bookworm,Twitter,#Reading #CoffeeTime,22,45,India,2023,1,21,8,67,Influencer,User_21,IN,Positive,X
21,Exploring the world of virtual reality,Positive,2023-01-21 13:20:00,VRExplorer,Facebook,#VR #VirtualReality,15,30,USA,2023,1,21,13,45,Regular User,User_22,US,Positive,FB
22,Productive day ticking off my todo list,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram,#Productivity #WorkFromHome,30,60,USA,2023,1,21,16,90,Influencer,User_23,US,Positive,IG
23,Just finished a challenging workout routine,Positive,2023-01-22 09:15:00,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20,40,UK,2023,1,22,9,60,Influencer,User_24,UK,Positive,X
24,Celebrating a milestone at work,Positive,2023-01-22 14:30:00,CareerMilestone,Facebook,#Career #Milestone,12,25,Canada,2023,1,22,14,37,Regular User,User_25,CA,Positive,FB
25,Sunday brunch with friends,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,#Brunch #Friends,15,30,UK,2023,1,22,12,45,Regular User,User_26,UK,Positive,IG
26,Learning a new language for personal growth,Positive,2023-01-23 16:20:00,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25,50,India,2023,1,23,16,75,Influencer,User_27,IN,Positive,FB
27,Quiet evening with a good book,Positive,2023-01-23 19:45:00,BookLover,Instagram,#Reading #QuietTime,15,30,Australia,2023,1,23,19,45,Regular User,User_28,AU,Positive,IG
28,Reflecting on the importance of mental health,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22,45,USA,2023,1,24,11,67,Influencer,User_29,US,Positive,X
29,New painting in progress,Positive,2023-01-24 15:00:00,ArtistInAction,Facebook,#Art #PaintingInProgress,12,25,Canada,2023,1,24,15,37,Regular User,User_30,CA,Positive,FB
30,Weekend road trip to explore scenic views,Positive,2023-01-24 17:30:00,RoadTripper,Instagram,#RoadTrip #ScenicViews,18,35,UK,2023,1,24,17,53,Influencer,User_31,UK,Positive,IG
31,Enjoying a cup of tea and watching the sunset,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,#TeaTime #Sunset,15,30,India,2023,1,25,18,45,Regular User,User_32,IN,Positive,X
32,Coding a new project with enthusiasm,Positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30,60,USA,2023,1,25,13,90,Influencer,User_33,US,Positive,FB
