Tweet ID,Text,Sentiment,Timestamp,User ID,Platform ID,Hashtags,Retweets,Likes,Country ID
Posts_1,Enjoying a beautiful day at the park,Positive,2023-01-15 12:30:00,User_1,X,#Nature #Park,15,30,US
Posts_2,Traffic was terrible this morning,Negative,2023-01-15 08:45:00,User_2,X,#Traffic #Morning,5,10,CA
Posts_3,Just finished an amazing workout,Positive,2023-01-15 15:45:00,User_3,IG,#Fitness #Workout,20,40,US
Posts_4,Excited about the upcoming weekend getaway,Positive,2023-01-15 18:20:00,User_4,FB,#Travel #Adventure,8,15,UK
Posts_5,Trying out a new recipe for dinner tonight,Neutral,2023-01-15 19:55:00,User_5,IG,#Cooking #Food,12,25,AU
Posts_6,Feeling grateful for the little things in life,Positive,2023-01-16 09:10:00,User_6,X,#Gratitude #PositiveVibes,25,50,IN
Posts_7,Rainy days call for cozy blankets and hot cocoa,Positive,2023-01-16 14:45:00,User_7,FB,#RainyDays #Cozy,10,20,CA
Posts_8,The new movie release is a mustwatch,Positive,2023-01-16 19:30:00,User_8,IG,#MovieNight #MustWatch,15,30,US
Posts_9,Political discussions heating up on the timeline,Negative,2023-01-17 08:00:00,User_9,X,#Politics #Debate,30,60,US
Posts_10,Missing summer vibes and beach days,Neutral,2023-01-17 12:20:00,User_10,FB,#Summer #BeachDays,18,35,AU
Posts_11,Just published a new blog post Check it out,Positive,2023-01-17 15:15:00,User_11,IG,#Blogging #NewPost,22,45,US
Posts_12,Feeling a bit under the weather today,Negative,2023-01-18 10:30:00,User_12,X,#SickDay #Health,7,15,CA
Posts_13,Exploring the citys hidden gems,Positive,2023-01-18 14:50:00,User_13,FB,#CityExplore #HiddenGems,12,25,UK
Posts_14,New year new fitness goals,Positive,2023-01-18 18:00:00,User_14,IG,#NewYear #FitnessGoals,28,55,US
Posts_15,Technology is changing the way we live,Neutral,2023-01-19 09:45:00,User_15,X,#Tech #Innovation,15,30,IN
Posts_16,Reflecting on the past and looking ahead,Positive,2023-01-19 13:20:00,User_16,FB,#Reflection #Future,20,40,US
Posts_17,Just adopted a cute furry friend,Positive,2023-01-19 17:10:00,User_17,IG,#PetAdoption #FurryFriend,15,30,CA
Posts_18,Latenight gaming session with friends,Positive,2023-01-20 00:05:00,User_18,X,#Gaming #LateNight,18,35,UK
Posts_19,Attending a virtual conference on AI,Neutral,2023-01-20 11:30:00,User_19,FB,#AI #TechConference,25,50,US
Posts_20,Winter blues got me feeling low,Negative,2023-01-20 15:15:00,User_20,IG,#WinterBlues #Mood,8,15,US
Posts_21,Sipping coffee and enjoying a good book,Positive,2023-01-21 08:40:00,User_21,X,#Reading #CoffeeTime,22,45,IN
Posts_22,Exploring the world of virtual reality,Positive,2023-01-21 13:20:00,User_22,FB,#VR #VirtualReality,15,30,US
Posts_23,Productive day ticking off my todo list,Positive,2023-01-21 16:45:00,User_23,IG,#Productivity #WorkFromHome,30,60,US
Posts_24,Just finished a challenging workout routine,Positive,2023-01-22 09:15:00,User_24,X,#Fitness #ChallengeAccepted,20,40,UK
Posts_25,Celebrating a milestone at work,Positive,2023-01-22 14:30:00,User_25,FB,#Career #Milestone,12,25,CA
Posts_26,Sunday brunch with friends,Positive,2023-01-22 12:00:00,User_26,IG,#Brunch #Friends,15,30,UK
Posts_27,Learning a new language for personal growth,Positive,2023-01-23 16:20:00,User_27,FB,#LanguageLearning #PersonalGrowth,25,50,IN
Posts_28,Quiet evening with a good book,Positive,2023-01-23 19:45:00,User_28,IG,#Reading #QuietTime,15,30,AU
Posts_29,Reflecting on the importance of mental health,Positive,2023-01-24 11:30:00,User_29,X,#MentalHealth #SelfCare,22,45,US
Posts_30,New painting in progress,Positive,2023-01-24 15:00:00,User_30,FB,#Art #PaintingInProgress,12,25,CA
Posts_31,Weekend road trip to explore scenic views,Positive,2023-01-24 17:30:00,User_31,IG,#RoadTrip #ScenicViews,18,35,UK
Posts_32,Enjoying a cup of tea and watching the sunset,Positive,2023-01-25 18:00:00,User_32,X,#TeaTime #Sunset,15,30,IN
Posts_33,Coding a new project with enthusiasm,Positive,2023-01-25 13:15:00,User_33,FB,#Coding #Enthusiasm,30,60,US
Posts_34,Feeling inspired after attending a workshop,Positive,2023-01-26 09:45:00,User_34,IG,#Inspiration #Workshop,25,50,US
Posts_35,Winter sports day at the local park,Positive,2023-01-26 14:20:00,User_35,X,#WinterSports #Fun,15,30,CA
Posts_36,Quality time with family this weekend,Positive,2023-01-26 17:40:00,User_36,FB,#FamilyTime #Weekend,22,45,UK
Posts_37,Attending a live music concert tonight,Positive,2023-01-27 20:00:00,User_37,IG,#Music #ConcertNight,18,35,US
Posts_38,Practicing mindfulness with meditation,Positive,2023-01-27 12:30:00,User_38,X,#Mindfulness #Meditation,15,30,IN
Posts_39,Trying out a new dessert recipe,Positive,2023-01-27 16:10:00,User_39,FB,#Dessert #Cooking,12,25,CA
Posts_40,Excited about the upcoming gaming tournament,Positive,2023-01-28 09:00:00,User_40,IG,#Gaming #Tournament,30,60,US
Posts_41,Planning a garden makeover for spring,Positive,2023-01-28 14:45:00,User_41,X,#Gardening #Spring,25,50,US
